共有model数,item_name 中文,model_name 中文,目标价,model_image_susercontent,product_link,L2 中文,L3 中文,邀请码,model_id,final_1688_link,price judge,展示日期,item_id,item下最高价,特殊tag,日均销售额,日均单量,asp_tag_by_l1
1,适用于五十铃 D-MAX、科罗拉多低底盘 4x2WD 所有车型的上下控制臂衬套套装 | 控制臂衬套,适用于五十铃 D-MAX、科罗拉多低底盘 4x2WD 所有车型的上下控制臂衬套套装 | 控制臂衬套,74.78,https://cf.shopee.co.th/file/th-11134207-7r98w-ly514xgsz8l2f1,https://.xiapibuy.com/product/279980156/29806233426,汽车零部件,减震器、支柱和悬架,IVCN2026071015040,'205265627667,无同款,P1,'08-24,'205265627667,74.78,LFF精寻品📦,20-40美金,20-40单,高价品
1,本产品提供质保。适用于2009-2014款马自达2 DE和福特嘉年华的下控制臂+衬套+球头。,1对,69.03,https://cf.shopee.co.th/file/th-11134207-7ra0t-mbz17gz4vcxs39,https://.xiapibuy.com/product/1190247548/25395883291,汽车零部件,减震器、支柱和悬架,IVCN2026051311743,'275666341888,相似款：https://detail.1688.com/offer/732415014310.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'275666341888,69.03,LFF精寻品📦,20-40美金,20-40单,高价品
1,MG URBAN 门槛饰板、车门防尘贴纸、皮革保护产品、车身套件、汽车改色。,MG URBAN 无忧 10 件套全车门槛保护条。,66.83,https://cf.shopee.co.th/file/sg-11134201-824hj-mprot3k5q6fga5,https://.xiapibuy.com/product/1509548725/43931902003,汽车外饰配件,门槛板,IVCN202608177549,'336094411581,相似款：https://detail.1688.com/offer/1047712787668.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'336094411581,66.83,LFF精寻品📦,20-40美金,20-40单,高价品
1,XPANDER ULTIMATE XPANDER CROSS 2016 2018 2020 2022 224 侧门槛板 侧防擦板 汽车侧门带灯 LED灯 EXPANDERbiru 踏板门槛 CROSS 踏板门槛,XPANDER CROSS,66.56,https://cf.shopee.ph/file/id-11134207-7r992-ls1j9l7374hl02,https://.xiapibuy.com/product/322240538/40211122855,汽车外饰配件,门槛板,IVCN202608179697,'224390820984,无同款,P1,'08-24,'224390820984,66.56,,20-40美金,20-40单,高价品
1,适用于丰田Innova（2005-2021）的555型下摆臂球头（左右）（SB-3882）1套,适用于丰田Innova（2005-2021）的555型下摆臂球头（左右）（SB-3882）1套,64.84,https://cf.shopee.ph/file/ph-11134207-7qul0-ljrvgvlc1i0cd8,https://PH.xiapibuy.com/product/128190040/20591344730,汽车零部件,减震器、支柱和悬架,IVCN202605130271,'194469203037,无同款,P1,'08-24,'194469203037,64.84,LFF精寻品📦,20-40美金,20-40单,高价品
1,适用于本田City（2003-2007）和本田Jazz GD（2003-2007）的一对下控制臂。,1对,59.42,https://cf.shopee.co.th/file/th-11134207-7r98u-lwpgi34takds3b,https://.xiapibuy.com/product/1231659171/25525683237,汽车零部件,减震器、支柱和悬架,IVCN2026061511685,'197452947999,相似款：https://detail.1688.com/offer/732415014310.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'197452947999,59.42,LFF精寻品📦,20-40美金,20-40单,高价品
1,适用于三菱Triton 2019-2023（1个/2个）后引擎盖行李箱减震器支柱,1套（2件）,51.3,https://cf.shopee.com.my/file/cn-11134207-7qukw-lgn3bcrti7vg3f,https://.xiapibuy.com/product/279461421/20788619179,汽车零部件,减震器、支柱和悬架,IVCN202608177915,'146855107230,相似款：https://detail.1688.com/offer/708453808338.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i10&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'146855107230,51.3,LFF精寻品📦,20-40美金,20-40单,高价品
1,正品 Carryboy 车顶支撑杆，适用于 5、7、G3 系列车型（100% 正品）= 1 对。专用于后挡板玻璃。,32.5厘米,50,https://cf.shopee.co.th/file/th-11134207-7ra0k-md8l4p3mxbd1d4,https://.xiapibuy.com/product/11012603/42401523486,汽车零部件,减震器、支柱和悬架,IVCN202608178957,'260890811155,相似款：https://detail.1688.com/offer/963716367407.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i7&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'260890811155,50,,20-40美金,20-40单,高价品
1,适用于2007-2012年丰田威驰雅力士的KYB前减震器支架和轴承。,减震器支架+轴承座，2 件。,48.68,https://cf.shopee.co.th/file/2a10424911411236c63ac9095076e8c8,https://.xiapibuy.com/product/42108316/9840321661,汽车零部件,减震器、支柱和悬架,IVCN2026051310035,'261762342993,相似款：https://detail.1688.com/offer/1071061834796.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'261762342993,48.68,,20-40美金,20-40单,高价品
1,适用于丰田威驰（2000 年及之后车型）/丰田回声（SB-3602）的 555 型下摆臂球头（左右）1 套,适用于丰田威驰（2000 年及之后车型）/丰田回声（SB-3602）的 555 型下摆臂球头（左右）1 套,37.62,https://cf.shopee.ph/file/ph-11134207-7qul6-ljs2bptoco6k7d,https://.xiapibuy.com/product/128190040/20791335320,汽车零部件,减震器、支柱和悬架,IVCN202607108730,'166016395813,无同款,P1,'08-24,'166016395813,37.62,,20-40美金,20-40单,高价品
1,比亚迪 [ATTO 3/ATTO 2/SEAL/Dolphin/Sealion 5/Sealion 6] 碳纤维装饰条套装，ABS 表面，耐磨，易于安装的贴纸。,阈值输出杆 4 件，Atto 3,36.52,https://cf.shopee.co.th/file/sg-11134201-7qvf6-liekz4oh2pyvdb,https://.xiapibuy.com/product/992185921/21390135184,汽车外饰配件,门槛板,IVCN202608177983,'216836072995,相似款：https://detail.1688.com/offer/674666664265.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'216836072995,36.52,LFF精寻品📦,20-40美金,20-40单,低价品
1,[2 件] 三菱 Mirage 两厢车后保险杠端盖，三菱 Mirage G4 - 555 日本,[2 件] 三菱 Mirage 两厢车后保险杠端盖，三菱 Mirage G4 - 555 日本,34.13,https://cf.shopee.ph/file/sg-11134201-824h9-mptdt9v03bb68a,https://.xiapibuy.com/product/305117702/5362671478,汽车零部件,减震器、支柱和悬架,IVCN2026071014744,'41805676900,无同款,P1,'08-24,'41805676900,34.13,,20-40美金,20-40单,高价品
1,比亚迪 [ATTO 3/ATTO 2/SEAL/Dolphin/Sealion 5/Sealion 6] 碳纤维装饰条套装，ABS 表面，耐磨，易于安装的贴纸。,阈值外杆 4 件套，海豚图案。,33.47,https://cf.shopee.co.th/file/sg-11134201-7qvf6-liekz4oh2pyvdb,https://.xiapibuy.com/product/992185921/21390135184,汽车外饰配件,门槛板,IVCN202608177983,'206931612191,相似款：https://detail.1688.com/offer/674666664265.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'206931612191,33.47,LFF精寻品📦,20-40美金,20-40单,低价品
1,适用于 Vigo/Revo（高底盘版）和 Fortuner 的前减震器垫片，厚度分别为 3/4 英寸、1 英寸和 1.5 英寸。**请在订购前阅读详细信息。**,3/4英寸,32.67,https://cf.shopee.co.th/file/th-11134207-81zth-mgon4yyclvrg74,https://.xiapibuy.com/product/173615094/24960938419,汽车零部件,减震器、支柱和悬架,IVCN2026061514411,'240277033097,相似款：https://detail.1688.com/offer/1051764900033.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'240277033097,32.67,LFF精寻品📦,20-40美金,20-40单,高价品
1,适用于2012-2017款丰田凯美瑞（ACV50 51）的引擎盖撑杆，一对，可伸展至27英寸。丰田凯美瑞原厂配件。一年质保。,适用于2012-2017款丰田凯美瑞（ACV50 51）的引擎盖撑杆，一对，可伸展至27英寸。丰田凯美瑞原厂配件。一年质保。,29.7,https://cf.shopee.co.th/file/th-11134207-7ras8-m0rculgmpfi262,https://.xiapibuy.com/product/297317751/10316253791,汽车零部件,减震器、支柱和悬架,IVCN202605137983,'36276217170,相似款：https://detail.1688.com/offer/1023442635948.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'36276217170,29.7,LFF精寻品📦,20-40美金,20-40单,高价品
1,适用于丰田Innova（2005-2021）的555型上球头（左右）（SB-3881）1套,适用于丰田Innova（2005-2021）的555型上球头（左右）（SB-3881）1套,24.61,https://cf.shopee.ph/file/ph-11134207-7qul4-ljrvgvlc4b5805,https://.xiapibuy.com/product/128190040/23875275074,汽车零部件,减震器、支柱和悬架,IVCN2026051313529,'79682686404,无同款,P1,'08-24,'79682686404,24.61,,20-40美金,20-40单,高价品
1,【快速发货】本田思域 1992-2000 LX/ESI/LXI/VTI/SIR 发动机支架 下部发动机支架,左+右,24.22,https://cf.shopee.ph/file/cn-11134207-820l4-mefj2a1fp1qcfc,https://.xiapibuy.com/product/1629276877/29241941279,汽车零部件,减震器、支柱和悬架,IVCN202608177547,'296677851769,相似款：https://detail.1688.com/offer/1024763346559.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'296677851769,24.22,,20-40美金,20-40单,高价品
1,自动伸缩式挡风玻璃遮阳帘，汽车遮阳帘，可伸缩前窗全罩，提供紫外线防护、阻挡阳光、隔热、减少高温天气下停车时的热量,120*90厘米,24.02,https://cf.shopee.com.my/file/sg-11134201-820n4-mnlfb7fp22va6d,https://.xiapibuy.com/product/966239765/49159639068,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202608177253,'440851192400,相似款：https://detail.1688.com/offer/1037284635533.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'440851192400,24.02,LFF精寻品📦,20-40美金,20-40单,高价品
1,自收缩式汽车遮阳帘，适用于挡风玻璃、汽车，具有防紫外线、隔热、防晒功能，可减少车内温度，安装方便，夏季停车时可用于减少车​​内温度。,130*95厘米,17.85,https://cf.shopee.vn/file/sg-11134201-820n4-mnlfb7fp22va6d,https://.xiapibuy.com/product/904877201/42230442713,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202607108866,'405851192514,相似款：https://detail.1688.com/offer/1037284635533.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'405851192514,17.85,,20-40美金,20-40单,高价品
1,适用于2012-2021款福特Ranger（福特Ranger Raptor）的左右后挡板支撑杆一对。具备减速功能。后挡板配件。,2012-2021,17.27,https://cf.shopee.co.th/file/sg-11134201-7rd6d-m7hrw1zvib4zaf,https://.xiapibuy.com/product/809755849/26880009801,汽车零部件,减震器、支柱和悬架,IVCN202608178477,'147741120251,相似款：https://detail.1688.com/offer/687967525649.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'147741120251,17.27,LFF精寻品📦,20-40美金,20-40单,高价品
1,适用于丰田海狮LH112低顶车型的King-carmate后备箱盖支撑杆。发动机盖支撑杆。泰国境内可立即发货。,P033,17,https://cf.shopee.co.th/file/th-11134207-7qukx-ljcg7nsqkelk20,https://.xiapibuy.com/product/280910013/22374053518,汽车零部件,减震器、支柱和悬架,IVCN202607108380,'158288839505,相似款：https://detail.1688.com/offer/898355637558.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'158288839505,17,LFF精寻品📦,20-40美金,20-40单,高价品
1,Baseus CoolRide系列挡风玻璃遮阳伞 BS-CN013 卓越的冷却效果 玻璃纤维伞骨 包边设计 加长型 环保材料 反光聚酯纤维,黑色的,16.5,https://cf.shopee.sg/file/cn-11134207-820l4-mpc4bt1ipybw59,https://.xiapibuy.com/product/131198971/55412039532,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202608179783,'361047157473,相似款：https://detail.1688.com/offer/1040338497226.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'361047157473,16.5,,20-40美金,20-40单,高价品
1,Baseus GoTrip DT1 单车挡风玻璃遮阳帘,黑色的,16,https://cf.shopee.sg/file/cn-11134207-7ras8-mdd18ith296o87,https://.xiapibuy.com/product/131198971/27189774052,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202607109436,'291055119221,相似款：https://detail.1688.com/offer/1044333351067.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'291055119221,16,,40-60美金,20-40单,高价品
1,丰田Fortuner/Hilux原装连杆稳定器1套,左右,15.28,https://cf.shopee.ph/file/cn-11134207-7ras8-mbna4s60hfm5f6,https://.xiapibuy.com/product/1572329507/44356768723,汽车零部件,减震器、支柱和悬架,IVCN2026061516905,'275571537109,相似款：https://detail.1688.com/offer/894936753953.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'275571537109,15.28,LFF精寻品📦,20-40美金,20-40单,高价品
1,宝马前排遮阳帘。提供防晒、隔热和防紫外线功能。,160*86厘米,14.5,https://cf.shopee.co.th/file/sg-11134201-7rd5r-lu4q9cjenxj9b2,https://.xiapibuy.com/product/975540152/24124664169,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202608179327,'245649132892,相似款：https://detail.1688.com/offer/670441288701.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'245649132892,14.5,LFF精寻品📦,20-40美金,20-40单,高价品
1,1件装通用汽车门槛贴纸 PEVA 反光汽车车门边缘保护条 汽车防撞条 适用于汽车车门边缘 前后保险杠门槛保护条,黑色，10厘米*5米,12.43,https://cf.shopee.ph/file/sg-11134201-7qveh-lhy78ch9knw40d,https://.xiapibuy.com/product/288207647/17397763703,汽车外饰配件,门槛板,IVCN202608177127,'206813210451,相似款：https://detail.1688.com/offer/618276820349.html?spm=a26352.b28411319.offerlist.15.383f1e62oGJ0NR,P1,'08-24,'206813210451,12.43,,20-40美金,20-40单,高价品
1,汽车挡风玻璃前遮阳罩遮阳板猎人保护罩前遮阳板内饰配件,丰田，小型 150*70厘米,11.5,https://cf.shopee.ph/file/sg-11134201-7reqe-m8u4pemx8ihd20,https://.xiapibuy.com/product/391513789/25594318769,汽车内饰配件,遮阳罩和仪表盘罩,IVCN2026041038401,'218448597338,相似款：https://detail.1688.com/offer/670441288701.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'218448597338,11.5,LFF精寻品📦,20-40美金,20-40单,中价品
1,SEAMETAL减震橡胶，汽车密封件，隔音，降噪，防水，防尘，节省空调，粘合力强。,1600万,11.2,https://cf.shopee.co.th/file/sg-11134201-824hv-mpuhujvurk00f9,https://.xiapibuy.com/product/953672407/45162739542,汽车外饰配件,门槛板,IVCN202608179775,'311105448326,相似款：https://detail.1688.com/offer/1045381778007.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'311105448326,11.2,LFF精寻品📦,20-40美金,20-40单,高价品
1,汽车挡风玻璃前遮阳罩遮阳板猎人保护罩前遮阳板内饰配件,丰田，大号 160*86厘米,10.23,https://cf.shopee.ph/file/sg-11134201-7reqe-m8u4pemx8ihd20,https://.xiapibuy.com/product/391513789/25594318769,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202606157833,'218448597339,相似款：https://detail.1688.com/offer/670441288701.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'218448597339,10.23,LFF精寻品📦,20-40美金,20-40单,中价品
1,✨现货✨ 铝制隔热罩 • 300x500 毫米 • 压纹图案 • 涡轮增压器罩 • 防火🚗,✨现货✨ 铝制隔热罩 • 300x500 毫米 • 压纹图案 • 涡轮增压器罩 • 防火🚗,9.95,https://cf.shopee.co.th/file/sg-11134201-7rauc-maxweixfw31f10,https://.xiapibuy.com/product/627316260/44104378904,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202608177687,'270371472529,相似款：https://detail.1688.com/offer/997297661455.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'270371472529,9.95,LFF精寻品📦,20-40美金,20-40单,中价品
1,适用于三菱Xpander/Xpander Cross（2018至2026款）的仪表台保护罩/仪表台垫,红色线条,8.11,https://cf.shopee.ph/file/sg-11134201-824ji-mpvvlup6o1kw03,https://.xiapibuy.com/product/473817947/23945095248,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202608178125,'137608419060,相似款：https://detail.1688.com/offer/967746061656.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'137608419060,8.11,LFF精寻品📦,20-40美金,20-40单,高价品
1,适用于 2015-2021 款福特 Everest U375/UA 的 2 件装后备箱尾门支撑杆，610 毫米，带气压杆、后备箱盖、尾门减震器和升降支撑杆。,2个,7.97,https://cf.shopee.ph/file/sg-11134201-821ep-mgrfdo8nhtscec,https://.xiapibuy.com/product/1519841382/40226199293,汽车零部件,减震器、支柱和悬架,IVCN202608178907,'445086127143,相似款：https://detail.1688.com/offer/1062020603111.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'445086127143,7.97,,20-40美金,20-40单,高价品
1,适用于 2015-2021 款福特 Ranger 和福特 Everest 第二代车型的 2 件装前引擎盖支撑杆 (U375/UA) 气弹簧引擎盖减震器阻尼器支撑杆,2个,6.77,https://cf.shopee.ph/file/cn-11134207-820l4-mf0nh2nkip7101,https://.xiapibuy.com/product/1623080343/41220887527,汽车零部件,减震器、支柱和悬架,IVCN2026051314507,'296703065547,相似款：https://detail.1688.com/offer/1062020603111.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'296703065547,6.77,LFF精寻品📦,20-40美金,20-40单,高价品
